employee_id,name,department,age,salary,performance,join_date,region
1057,BOB SMITH,hr,31.0,58501.99,9.27,2016-01-28,south
1058,frank miller,  Engineering  ,50.0,67039.78,8.11,2016-02-04,
1059,frank miller,hr,,,1.21,2016-02-11,
1060,JACK ANDERSON,MARKETING,33.0,58605.27,6.86,2016-02-18,
1061,david brown,MARKETING,52.0,67350.29,7.94,2016-02-25,North
1062,frank miller,MARKETING,23.0,85786.79,4.37,2016-03-03,North
1063,BOB SMITH,marketing,56.0,58767.92,1.62,2016-03-10,North
1064,JACK ANDERSON,  Engineering  ,44.0,48193.05,1.7,2016-03-17,
1065,BOB SMITH,hr,38.0,24561.54,1.94,2016-03-24,EAST
1066,JACK ANDERSON,HR,47.0,84419.55,8.56,2016-03-31,south
1067,david brown,sales,29.0,51051.37,9.2,2016-04-07,North
1068,henry moore,HR,50.0,63022.14,2.11,2016-04-14,EAST
1069,  Grace Wilson,sales,47.0,83588.61,3.12,2016-04-21,EAST
1070,Isabella Taylor,Finance,31.0,58414.03,2.49,2016-04-28,south
1071,henry moore,HR,47.0,52079.95,2.68,2016-05-05,
1072,Emily Davis,engineering,55.0,76295.09,8.54,2016-05-12,West 
1073,BOB SMITH,engineering,28.0,61911.06,3.99,2016-05-19,West 
1074,Emily Davis,Sales,25.0,63791.58,3.8,2016-05-26,EAST
1075,henry moore,  Engineering  ,32.0,32152.59,3.05,2016-06-02,south
1076,JACK ANDERSON,sales,50.0,73088.73,6.47,2016-06-09,West 
1077,Isabella Taylor,sales,57.0,60633.82,4.41,2016-06-16,EAST
1078,Isabella Taylor,  Engineering  ,46.0,34426.16,7.7,2016-06-23,
1079,alice johnson,marketing,42.0,62276.41,2.85,2016-06-30,West 
1080,Isabella Taylor,Sales,57.0,24062.11,8.09,2016-07-07,EAST
1081,  Grace Wilson,marketing,31.0,90129.63,6.43,2016-07-14,EAST
1082,Isabella Taylor,marketing,58.0,38472.18,2.03,2016-07-21,North
1083,henry moore,marketing,30.0,79176.89,4.73,2016-07-28,
1084,alice johnson,  Engineering  ,45.0,42805.67,8.77,2016-08-04,North
1085,henry moore,marketing,56.0,63403.39,9.31,2016-08-11,south
1086,henry moore,engineering,56.0,41318.08,5.19,2016-08-18,North
1087,  Carol White ,MARKETING,57.0,250000.0,5.33,2016-08-25,North
1088,alice johnson,Finance,39.0,51470.22,9.27,2016-09-01,West 
1089,henry moore,sales,53.0,62016.69,6.28,2016-09-08,EAST
1090,  Carol White ,sales,,55225.97,1.3,2016-09-15,
1091,  Carol White ,Finance,44.0,34515.03,9.21,2016-09-22,North
1092,alice johnson,  Engineering  ,53.0,62561.6,3.23,2016-09-29,
1093,Emily Davis,HR,58.0,47451.44,6.2,2016-10-06,North
1094,JACK ANDERSON,  Engineering  ,33.0,70679.69,2.49,2016-10-13,south
1095,  Grace Wilson,sales,34.0,51462.1,1.3,2016-10-20,North
1096,JACK ANDERSON,sales,,,3.8,2016-10-27,
1097,Isabella Taylor,Finance,46.0,80243.9,8.02,2016-11-03,EAST
1098,  Grace Wilson,marketing,56.0,90724.55,3.5,2016-11-10,south
1099,Isabella Taylor,  Engineering  ,51.0,66790.51,2.98,2016-11-17,North
1100,henry moore,hr,38.0,50692.9,2.91,2016-11-24,
1101,BOB SMITH,Finance,41.0,49380.08,5.64,2016-12-01,south
1102,alice johnson,engineering,46.0,42719.85,9.78,2016-12-08,south
1103,  Grace Wilson,sales,,,5.13,2016-12-15,
1104,  Grace Wilson,Finance,34.0,50895.85,6.02,2016-12-22,south
1105,henry moore,  Engineering  ,40.0,84463.79,8.75,2016-12-29,
1106,Emily Davis,sales,57.0,52041.67,5.82,2017-01-05,south
1107,  Carol White ,HR,33.0,36609.2,2.66,2017-01-12,
1108,henry moore,Finance,40.0,55624.98,3.7,2017-01-19,North
1109,frank miller,Sales,33.0,57671.93,3.79,2017-01-26,EAST
1110,  Carol White ,sales,30.0,55534.53,4.58,2017-02-02,south
1111,alice johnson,  Engineering  ,28.0,66995.37,4.84,2017-02-09,
1112,  Carol White ,MARKETING,49.0,56035.08,8.2,2017-02-16,
1113,Emily Davis,hr,35.0,66530.91,4.14,2017-02-23,south
1114,  Carol White ,FINANCE,52.0,43294.85,5.21,2017-03-02,West 
1115,alice johnson,marketing,40.0,81710.94,6.62,2017-03-09,EAST
1116,Emily Davis,FINANCE,37.0,58787.2,4.4,2017-03-16,south
1117,JACK ANDERSON,  Engineering  ,26.0,61003.28,8.53,2017-03-23,EAST
1118,  Grace Wilson,engineering,56.0,43232.32,6.29,2017-03-30,south
1119,  Grace Wilson,engineering,33.0,62077.4,3.65,2017-04-06,
1120,Isabella Taylor,MARKETING,46.0,64765.98,7.43,2017-04-13,EAST
1121,JACK ANDERSON,marketing,42.0,37453.47,5.75,2017-04-20,West 
1122,JACK ANDERSON,Sales,57.0,30113.63,5.81,2017-04-27,West 
1123,  Carol White ,MARKETING,44.0,250000.0,5.33,2017-05-04,
1124,  Grace Wilson,FINANCE,37.0,47668.45,5.47,2017-05-11,south
1125,alice johnson,MARKETING,35.0,58898.82,7.89,2017-05-18,EAST
1126,david brown,FINANCE,52.0,35634.46,1.93,2017-05-25,
1127,david brown,sales,26.0,31592.41,4.01,2017-06-01,EAST
1128,Emily Davis,engineering,56.0,58100.34,1.68,2017-06-08,south
1129,  Grace Wilson,sales,44.0,250000.0,7.78,2017-06-15,West 
1130,  Grace Wilson,hr,50.0,23339.51,3.45,2017-06-22,North
1131,david brown,marketing,32.0,75146.48,9.08,2017-06-29,West 
1132,  Grace Wilson,Sales,39.0,35385.14,5.74,2017-07-06,
1133,  Carol White ,FINANCE,33.0,93599.87,8.21,2017-07-13,North
1134,frank miller,Sales,30.0,45639.75,9.81,2017-07-20,
1135,BOB SMITH,FINANCE,31.0,61023.41,8.56,2017-07-27,south
1136,JACK ANDERSON,  Engineering  ,38.0,79704.24,8.8,2017-08-03,North
1137,Isabella Taylor,MARKETING,59.0,77191.51,4.67,2017-08-10,
1138,Emily Davis,hr,28.0,84792.05,5.97,2017-08-17,south
1139,frank miller,engineering,34.0,32153.86,3.28,2017-08-24,West 
1140,david brown,FINANCE,30.0,37962.02,2.77,2017-08-31,south
1141,JACK ANDERSON,Sales,48.0,58389.96,5.55,2017-09-07,EAST
1142,  Grace Wilson,hr,23.0,67596.21,6.36,2017-09-14,south
1143,Isabella Taylor,HR,26.0,54831.59,4.05,2017-09-21,south
1144,  Grace Wilson,HR,50.0,30430.09,6.12,2017-09-28,EAST
1145,alice johnson,sales,58.0,62448.67,8.99,2017-10-05,
1146,alice johnson,engineering,59.0,52086.23,6.01,2017-10-12,
1147,Isabella Taylor,  Engineering  ,40.0,51906.42,7.49,2017-10-19,south
1148,Isabella Taylor,Sales,29.0,20830.74,8.25,2017-10-26,EAST
1149,david brown,MARKETING,22.0,66962.26,9.9,2017-11-02,EAST
1150,Isabella Taylor,MARKETING,43.0,57178.06,6.43,2017-11-09,West 
1151,  Carol White ,Sales,38.0,81927.47,8.26,2017-11-16,
1152,  Grace Wilson,marketing,28.0,53882.39,9.66,2017-11-23,North
1153,frank miller,  Engineering  ,46.0,63495.1,9.5,2017-11-30,
1154,henry moore,hr,25.0,67477.27,2.27,2017-12-07,
1155,Isabella Taylor,FINANCE,57.0,28807.58,4.66,2017-12-14,West 
1156,Emily Davis,marketing,27.0,94250.5,3.92,2017-12-21,North
1157,alice johnson,FINANCE,52.0,48538.11,1.78,2017-12-28,West 
1158,  Carol White ,FINANCE,40.0,62418.5,6.7,2018-01-04,North
1159,JACK ANDERSON,marketing,48.0,64608.73,7.62,2018-01-11,south
1160,henry moore,sales,31.0,42778.24,8.63,2018-01-18,
1161,frank miller,HR,47.0,82704.7,2.1,2018-01-25,West 
1162,henry moore,FINANCE,40.0,58989.33,8.89,2018-02-01,
1163,Isabella Taylor,marketing,24.0,51797.91,6.79,2018-02-08,North
1164,david brown,marketing,34.0,57077.62,7.34,2018-02-15,North
1165,alice johnson,Finance,49.0,250000.0,9.2,2018-02-22,EAST
1166,alice johnson,sales,41.0,55161.97,6.62,2018-03-01,
1167,JACK ANDERSON,engineering,49.0,68228.95,4.02,2018-03-08,south
1168,david brown,Finance,29.0,29726.92,8.43,2018-03-15,West 
1169,  Grace Wilson,Finance,,250000.0,4.27,2018-03-22,
1170,BOB SMITH,Sales,24.0,22918.0,1.31,2018-03-29,
1171,  Carol White ,HR,34.0,84955.12,8.48,2018-04-05,North
1172,alice johnson,marketing,,84759.88,4.11,2018-04-12,
1173,Emily Davis,HR,46.0,64399.24,7.96,2018-04-19,
1174,alice johnson,  Engineering  ,54.0,39810.73,4.26,2018-04-26,North
1175,henry moore,Sales,59.0,90848.17,8.75,2018-05-03,North
1176,alice johnson,engineering,27.0,45933.78,2.98,2018-05-10,North
1177,alice johnson,HR,53.0,51801.89,9.77,2018-05-17,West 
1178,BOB SMITH,MARKETING,42.0,57393.0,8.02,2018-05-24,West 
1179,BOB SMITH,FINANCE,37.0,61772.74,2.03,2018-05-31,EAST
1180,frank miller,  Engineering  ,42.0,64657.04,6.09,2018-06-07,south
1181,  Grace Wilson,sales,32.0,65259.42,9.87,2018-06-14,
1182,Emily Davis,engineering,58.0,52832.14,5.24,2018-06-21,
1183,alice johnson,  Engineering  ,57.0,65021.51,2.64,2018-06-28,
1184,alice johnson,FINANCE,56.0,52161.89,5.36,2018-07-05,EAST
1185,  Carol White ,Sales,,,5.61,2018-07-12,
1186,BOB SMITH,FINANCE,41.0,62459.38,7.68,2018-07-19,EAST
1187,Emily Davis,Finance,39.0,66442.71,7.29,2018-07-26,
1188,JACK ANDERSON,FINANCE,35.0,64569.5,4.62,2018-08-02,south
1189,frank miller,Finance,36.0,48363.51,2.96,2018-08-09,North
1190,  Grace Wilson,Sales,52.0,61880.65,6.81,2018-08-16,West 
1191,david brown,hr,22.0,64801.0,4.8,2018-08-23,West 
1192,  Grace Wilson,Finance,24.0,35633.13,2.19,2018-08-30,EAST
1193,henry moore,sales,37.0,50889.33,9.11,2018-09-06,West 
1194,alice johnson,FINANCE,44.0,64121.71,7.22,2018-09-13,
1195,frank miller,FINANCE,32.0,80639.39,7.15,2018-09-20,
1196,henry moore,sales,33.0,67373.5,8.4,2018-09-27,EAST
1197,Emily Davis,MARKETING,31.0,81585.67,5.77,2018-10-04,
1198,david brown,marketing,53.0,49024.4,8.34,2018-10-11,south
1199,BOB SMITH,hr,,,5.48,2018-10-18,
1200,frank miller,engineering,29.0,67086.03,1.6,2018-10-25,south
1087,  Carol White ,MARKETING,57.0,69956.73,5.33,2016-08-25,North
1121,JACK ANDERSON,marketing,42.0,37453.47,5.75,2017-04-20,West 
1023,JACK ANDERSON,hr,57.0,75993.95,2.29,2015-06-04,south
1012,henry moore,HR,,54257.81,7.57,2015-03-19,
1196,henry moore,sales,33.0,67373.5,8.4,2018-09-27,EAST
1003,henry moore,hr,26.0,40191.56,6.2,2015-01-15,south
1122,JACK ANDERSON,Sales,57.0,30113.63,5.81,2017-04-27,West 
1095,  Grace Wilson,sales,34.0,51462.1,1.3,2016-10-20,North
1067,david brown,sales,29.0,51051.37,9.2,2016-04-07,North
1064,JACK ANDERSON,  Engineering  ,44.0,48193.05,1.7,2016-03-17,
